Latency,Interval
14590,14590
21166,6576
31110,9944
41126,10016
51150,10024
61186,10036
71182,9996
81154,9972
91098,9944
101150,10052
111206,10056
121082,9876
131170,10088
141106,9936
151174,10068
161134,9960
171142,10008
181122,9980
191110,9988
201062,9952
211062,10000
221206,10144
231134,9928
241182,10048
251134,9952
261138,10004
271202,10064
281134,9932
291102,9968
301150,10048
311206,10056
321154,9948
331110,9956
341138,10028
351146,10008
361134,9988
371126,9992
381182,10056
391166,9984
401134,9968
411134,10000
421086,9952
431098,10012
441106,10008
451130,10024
461134,10004
471138,10004
481114,9976
491154,10040
501094,9940
511142,10048
521186,10044
531142,9956
541190,10048
551178,9988
561134,9956
571110,9976
581138,10028
591186,10048
601126,9940
611082,9956
621186,10104
631182,9996
641130,9948
651166,10036
661150,9984
671066,9916
681134,10068
691078,9944
701214,10136
711198,9984
721482,10284
731102,9620
741242,10140
751106,9864
761178,10072
771170,9992
781194,10024
791134,9940
801098,9964
811146,10048
821138,9992
831174,10036
841122,9948
851070,9948
861142,10072
871330,10188
881118,9788
891090,9972
901142,10052
911154,10012
921070,9916
931114,10044
941182,10068
951070,9888
961130,10060
971098,9968
981162,10064
991094,9932
1001210,10116
1011078,9868
1021162,10084
1031114,9952
1041178,10064
1051162,9984
1061070,9908
1071194,10124
1081126,9932
1091098,9972
1101198,10100
1111170,9972
1121138,9968
1131158,10020
1141218,10060
1151202,9984
1161122,9920
1171082,9960
1181166,10084
1191198,10032
1201162,9964
1211098,9936
1221154,10056
1231142,9988
1241214,10072
1251122,9908
1261170,10048
1271182,10012
1281158,9976
1291158,10000
1301118,9960
1311154,10036
1321202,10048
1331138,9936
1341190,10052
1351170,9980
1361158,9988
1371106,9948
1381158,10052
1391214,10056
1401178,9964
1411462,10284
1421238,9776
1431162,9924
1441126,9964
1451126,10000
1461134,10008
1471194,10060
1481126,9932
1491098,9972
1501170,10072
1511198,10028
1521166,9968
1531138,9972
1541122,9984
1551134,10012
1561206,10072
1571158,9952
1581186,10028
1591170,9984
1601126,9956
1611206,10080
1621126,9920
1631110,9984
1641210,10100
1651142,9932
1661194,10052
1671182,9988
1681126,9944
1691154,10028
1701150,9996
1711122,9972
1721122,10000
1731102,9980
1741166,10064
1751198,10032
1761306,10108
1771106,9800
1781138,10032
1791158,10020
1801130,9972
1811110,9980
1821182,10072
1831166,9984
1841170,10004
1851094,9924
1861142,10048
1871194,10052
1881154,9960
1891118,9964
1901394,10276
1911194,9800
1921170,9976
1931134,9964
1941198,10064
1951206,10008
1961118,9912
1971122,10004
1981198,10076
1991166,9968
2001166,10000
2011162,9996
2021126,9964
2031126,10000
2041206,10080
2051098,9892
2061210,10112
2071126,9916
2081126,10000
2091106,9980
2101166,10060
2111142,9976
2121194,10052
2131122,9928
2141178,10056
2159022,17844
2161154,2132
2171090,9936
2181170,10080
2191122,9952
2201186,10064
2211142,9956
2221198,10056
2231162,9964
2241126,9964
2251178,10052
2261214,10036
2271122,9908
2281114,9992
2291138,10024
2301182,10044
2311170,9988
2321086,9916
2331098,10012
2341130,10032
2351138,10008
2361214,10076
2371126,9912
2381182,10056
2391170,9988
2401086,9916
2411086,10000
2421186,10100
2431170,9984
2441130,9960
2451270,10140
2461170,9900
2471210,10040
2481178,9968
2491122,9944
