Latency,Interval
18446744056031983616,18446744073709549568
18446744056031983616,0
18446744056031981568,18446744073709549568
18446744056031981568,0
18446744056031981568,0
18446744056031979520,18446744073709549568
18446744056031979520,0
18446744056031977472,18446744073709549568
18446744056031977472,0
18446744056031975424,18446744073709549568
18446744056031975424,0
18446744056031973376,18446744073709549568
18446744056031973376,0
18446744056031971328,18446744073709549568
18446744056031971328,0
18446744056031969280,18446744073709549568
18446744056031969280,0
18446744056031967232,18446744073709549568
18446744056031967232,0
18446744056031967232,0
18446744056031965184,18446744073709549568
18446744056031965184,0
18446744056031963136,18446744073709549568
18446744056031963136,0
18446744056031961088,18446744073709549568
18446744056031961088,0
18446744056031959040,18446744073709549568
18446744056031959040,0
18446744056031959040,0
18446744056031956992,18446744073709549568
18446744056031956992,0
18446744056031954944,18446744073709549568
18446744056031954944,0
18446744056031952896,18446744073709549568
18446744056031780864,18446744073709379584
18446744056031780864,0
18446744056031778816,18446744073709549568
18446744056031778816,0
18446744056031776768,18446744073709549568
18446744056031776768,0
18446744056031774720,18446744073709549568
18446744056031774720,0
18446744056031774720,0
18446744056031772672,18446744073709549568
18446744056031772672,0
18446744056031770624,18446744073709549568
18446744056031770624,0
18446744056031768576,18446744073709549568
18446744056031768576,0
18446744056031766528,18446744073709549568
18446744056031766528,0
18446744056031764480,18446744073709549568
18446744056031764480,0
18446744056031764480,0
18446744056031762432,18446744073709549568
18446744056031762432,0
18446744056031760384,18446744073709549568
18446744056031760384,0
18446744056031758336,18446744073709549568
18446744056031758336,0
18446744056031756288,18446744073709549568
18446744056031756288,0
18446744056031754240,18446744073709549568
18446744056031754240,0
18446744056031752192,18446744073709549568
18446744056031752192,0
18446744056031752192,0
18446744056031750144,18446744073709549568
18446744056031750144,0
18446744056031748096,18446744073709549568
18446744056031748096,0
18446744056031746048,18446744073709549568
18446744056031746048,0
18446744056031744000,18446744073709549568
18446744056031744000,0
18446744056031741952,18446744073709549568
18446744056031741952,0
18446744056031739904,18446744073709549568
18446744056031739904,0
18446744056031739904,0
18446744056031737856,18446744073709549568
18446744056031737856,0
18446744056031735808,18446744073709549568
18446744056031735808,0
