Latency,Interval
14590,14590
21166,6576
31110,9944
41126,10016
51150,10024
61186,10036
71182,9996
81154,9972
91098,9944
101150,10052
111206,10056
121082,9876
131170,10088
141106,9936
151174,10068
161134,9960
171142,10008
181122,9980
191110,9988
201062,9952
211062,10000
221206,10144
231134,9928
241182,10048
251134,9952
261138,10004
271202,10064
281134,9932
291102,9968
301150,10048
311206,10056
321154,9948
331110,9956
341138,10028
351146,10008
361134,9988
371126,9992
381182,10056
391166,9984
401134,9968
411134,10000
421086,9952
431098,10012
441106,10008
451130,10024
461134,10004
471138,10004
481114,9976
491154,10040
501094,9940
511142,10048
521186,10044
531142,9956
541190,10048
551178,9988
561134,9956
571110,9976
581138,10028
591186,10048
601126,9940
611082,9956
621186,10104
631182,9996
641130,9948
651166,10036
661150,9984
671066,9916
681134,10068
691078,9944
701214,10136
711198,9984
721482,10284
731102,9620
741242,10140
751106,9864
761178,10072
771170,9992
781194,10024
791134,9940
801098,9964
811146,10048
821138,9992
831174,10036
841122,9948
851070,9948
861142,10072
871330,10188
881118,9788
891090,9972
901142,10052
911154,10012
921070,9916
931114,10044
941182,10068
951070,9888
961130,10060
971098,9968
981162,10064
991094,9932
1001210,10116
1011078,9868
1021162,10084
1031114,9952
1041178,10064
1051162,9984
1061070,9908
1071194,10124
1081126,9932
1091098,9972
1101198,10100
1111170,9972
1121138,9968
1131158,10020
1141218,10060
1151202,9984
1161122,9920
1171082,9960
1181166,10084
1191198,10032
1201162,9964
1211098,9936
1221154,10056
1231142,9988
1241214,10072
1251122,9908
1261170,10048
1271182,10012
1281158,9976
1291158,10000
1301118,9960
1311154,10036
1321202,10048
1331138,9936
1341190,10052
1351170,9980
1361158,9988
1371106,9948
1381158,10052
1391214,10056
1401178,9964
1411462,10284
1421238,9776
1431162,9924
1441126,9964
1451126,10000
1461134,10008
1471194,10060
1481126,9932
1491098,9972
1501170,10072
1511198,10028
1521166,9968
1531138,9972
1541122,9984
1551134,10012
1561206,10072
1571158,9952
1581186,10028
1591170,9984
1601126,9956
1611206,10080
1621126,9920
1631110,9984
1641210,10100
1651142,9932
1661194,10052
1671182,9988
1681126,9944
1691154,10028
1701150,9996
1711122,9972
1721122,10000
1731102,9980
1741166,10064
1751198,10032
1761306,10108
1771106,9800
1781138,10032
1791158,10020
1801130,9972
1811110,9980
1821182,10072
1831166,9984
1841170,10004
1851094,9924
1861142,10048
1871194,10052
1881154,9960
1891118,9964
1901394,10276
1911194,9800
1921170,9976
1931134,9964
1941198,10064
1951206,10008
1961118,9912
1971122,10004
1981198,10076
1991166,9968
2001166,10000
2011162,9996
2021126,9964
2031126,10000
2041206,10080
2051098,9892
2061210,10112
2071126,9916
2081126,10000
2091106,9980
2101166,10060
2111142,9976
2121194,10052
2131122,9928
2141178,10056
2159022,17844
2161154,2132
2171090,9936
2181170,10080
2191122,9952
2201186,10064
2211142,9956
2221198,10056
2231162,9964
2241126,9964
2251178,10052
2261214,10036
2271122,9908
2281114,9992
2291138,10024
2301182,10044
2311170,9988
2321086,9916
2331098,10012
2341130,10032
2351138,10008
2361214,10076
2371126,9912
2381182,10056
2391170,9988
2401086,9916
2411086,10000
2421186,10100
2431170,9984
2441130,9960
2451270,10140
2461170,9900
2471210,10040
2481178,9968
2491122,9944
2491566,444
2491570,4
2491586,16
2491598,12
2491610,12
2491626,16
2491634,8
2491642,8
2491654,12
2491670,16
2491682,12
2491694,12
2491706,12
2491714,8
2491726,12
2491738,12
2491750,12
2491762,12
2491770,8
2491782,12
2491794,12
2491806,12
2491818,12
2491830,12
2491842,12
2491854,12
2491866,12
2491882,16
2491890,8
2491902,12
2491918,16
2491922,4
2491934,12
2491950,16
2491958,8
2491974,16
2491982,8
2491994,12
2492010,16
2492018,8
2492026,8
2492042,16
2492050,8
2492062,12
2492078,16
2492086,8
2492094,8
2492114,20
2492126,12
2492138,12
2492154,16
2492162,8
2492170,8
2492182,12
2492210,28
2492234,24
2492278,44
2492290,12
2492306,16
2492314,8
2492330,16
2492342,12
2492638,296
2493158,520
2493186,28
2493206,20
2493222,16
2493242,20
2493258,16
2493274,16
2493286,12
2493294,8
2493310,16
2493318,8
2493330,12
2493346,16
2493354,8
2493366,12
2493586,220
2493634,48
2493646,12
2493666,20
2493674,8
2493686,12
2493702,16
2493714,12
2494086,372
2494174,88
2494182,8
2494194,12
2494206,12
2494222,16
2494230,8
2494242,12
2494610,368
2494622,12
2494686,64
2494698,12
2494710,12
2494722,12
2494734,12
2494742,8
2495114,372
2495126,12
2495170,44
2495182,12
2495202,20
2495214,12
2495226,12
2495238,12
2495678,440
2495730,52
2495742,12
2495758,16
2495762,4
2495778,16
2495790,12
2495802,12
2496114,312
2496210,96
2496238,28
2496250,12
2496262,12
2496270,8
2496282,12
2496298,16
2496590,292
2496618,28
2496638,20
2496654,16
2496698,44
2496714,16
2496722,8
2496734,12
2497078,344
2497142,64
2497154,12
2497170,16
2497182,12
2497194,12
2497206,12
2497218,12
2497550,332
2497610,60
2497666,56
2497682,16
2497694,12
2497706,12
2497718,12
2497734,16
2498114,380
2498170,56
2498186,16
2498198,12
2498210,12
2498226,16
2498242,16
2498250,8
2498634,384
2498698,64
2498710,12
2498722,12
2498746,24
2498758,12
2498770,12
2498782,12
2499078,296
2499134,56
2499146,12
2499162,16
2499170,8
2499186,16
2499198,12
2499210,12
2499534,324
2499546,12
2499654,108
2499670,16
2499686,16
2499694,8
2499706,12
2499722,16
2500110,388
2500166,56
2500178,12
2500190,12
2500202,12
2500210,8
2500226,16
2500242,16
2500594,352
2500682,88
2500698,16
2500714,16
2500726,12
2500738,12
2500750,12
2500762,12
2501030,268
2501046,16
2501066,20
2501086,20
2501214,128
2501230,16
2501238,8
2501250,12
2501582,332
2501682,100
2501698,16
2501710,12
2501754,44
2501774,20
2501786,12
2501798,12
2502166,368
2502226,60
2502234,8
2502250,16
2502266,16
2502282,16
2502286,4
2502302,16
2502610,308
2502674,64
2502682,8
2502694,12
2502706,12
2502730,24
2502734,4
2502746,12
2503066,320
2503114,48
2503170,56
2503190,20
2503394,204
2503410,16
2503422,12
2503442,20
2503654,212
2503702,48
2503714,12
2503754,40
2503762,8
2503778,16
2503790,12
2503802,12
2504194,392
2505362,1168
2505422,60
2505434,12
2505446,12
2505458,12
2505470,12
2505486,16
2505498,12
2505898,400
2506006,108
2506022,16
2506038,16
2506050,12
2506066,16
2506078,12
2506086,8
2507778,1692
2507810,32
2507914,104
2507922,8
2507934,12
2507946,12
2507958,12
2507970,12
2508270,300
2508326,56
2508338,12
2508354,16
2508362,8
2508378,16
2508386,8
2508402,16
2508738,336
2508830,92
2509346,516
2509366,20
2509378,12
2509386,8
2509398,12
2509410,12
2509422,12
2509438,16
2509450,12
2509538,88
2509554,16
2509566,12
2509578,12
2509594,16
2509706,112
2509766,60
2509786,20
2509802,16
2509814,12
2509834,20
2509842,8
2509854,12
2510198,344
2510246,48
2510270,24
2510278,8
2510294,16
2510306,12
2510314,8
2510326,12
2510678,352
2510734,56
2510746,12
2510766,20
2510770,4
2510782,12
2510794,12
2510814,20
2511086,272
2511186,100
2511198,12
2511214,16
2511242,28
2511254,12
2511262,8
2511282,20
2511870,588
2511938,68
2511950,12
2511962,12
2511974,12
2511994,20
2512010,16
2512022,12
2512326,304
2512338,12
2512402,64
2512418,16
2512434,16
2512454,20
2512466,12
2512470,4
2512794,324
2512850,56
2512866,16
2513394,528
2513410,16
2513422,12
2513434,12
2513450,16
2513458,8
2513478,20
2513486,8
2513498,12
2513510,12
2513522,12
2513534,12
2513542,8
2513730,188
2513794,64
2513810,16
2513822,12
2513834,12
2513846,12
2513906,60
2513918,12
2514206,288
2514262,56
2514278,16
2514286,8
2514298,12
2514310,12
2514326,16
2514334,8
2514662,328
2514726,64
2514738,12
2514746,8
2514762,16
2514774,12
2514786,12
2514810,24
2515086,276
2515138,52
2515194,56
2515214,20
2515230,16
2515242,12
2515250,8
2515262,12
2515626,364
2515642,16
2515686,44
2515706,20
2515714,8
2515730,16
2515746,16
2515754,8
2516082,328
2516170,88
2516186,16
2516198,12
2516214,16
2516230,16
2516242,12
2516270,28
2516522,252
2516682,160
2516698,16
2516710,12
2516726,16
2516738,12
2516754,16
2516766,12
2517030,264
2517194,164
2517214,20
2517234,20
2517250,16
2517262,12
2517270,8
2517286,16
2517574,288
2517594,20
2517610,16
2517650,40
2517714,64
2517734,20
2517746,12
2517754,8
2518090,336
2518134,44
2518234,100
2518246,12
2518254,8
2518270,16
2518290,20
2518294,4
2518554,260
2518618,64
2518634,16
2518686,52
2518742,56
2518754,12
2518774,20
2518790,16
2519126,336
2519142,16
2519206,64
2519230,24
2519242,12
2519250,8
2519262,12
2519282,20
2519726,444
2519778,52
2519802,24
2519814,12
2519826,12
2519838,12
2519850,12
2519866,16
2520182,316
2520266,84
2520282,16
2520306,24
2520322,16
2520338,16
2520342,4
2520354,12
2520622,268
2520634,12
2520650,16
2520670,20
2520682,12
2520698,16
2520998,300
2521026,28
2521974,948
2521986,12
2522034,48
2522050,16
2522062,12
2522074,12
2522086,12
2522098,12
2522522,424
2522582,60
2522598,16
2522610,12
2522638,28
2522654,16
2522670,16
2522682,12
2522938,256
2522998,60
2523010,12
2523022,12
2523034,12
2523078,44
2523098,20
2523114,16
2523370,256
2523390,20
2524334,944
2524350,16
2524366,16
2524398,32
2524414,16
2524430,16
2524442,12
2524454,12
2524750,296
2525654,904
2525678,24
2525694,16
2525710,16
2526626,916
2526638,12
2526654,16
2526670,16
2527630,960
2527666,36
2527678,12
2528606,928
2528630,24
2528638,8
2528658,20
2529534,876
2529614,80
2529630,16
2530526,896
2530558,32
2530582,24
2531586,1004
2531602,16
2531618,16
2531630,12
2532614,984
2532630,16
2532638,8
2533526,888
2533574,48
2533654,80
2533670,16
2534594,924
2534622,28
2534634,12
2535614,980
2535630,16
2535998,368
2536866,868
2536882,16
2536898,16
2536926,28
2536934,8
2537794,860
2537810,16
2537822,12
2538774,952
2538790,16
2538810,20
2539726,916
2539738,12
2539750,12
2540670,920
2540690,20
2540702,12
2540718,16
2541662,944
2541714,52
2541762,48
2542658,896
2542694,36
2542706,12
2542726,20
2543670,944
2543682,12
2543694,12
2544570,876
2544654,84
2544670,16
2544682,12
2545614,932
2545678,64
2545698,20
2546626,928
2546638,12
2546658,20
2546670,12
2547586,916
2547598,12
2547610,12
2548514,904
2548542,28
2548558,16
2548626,68
2549538,912
2549550,12
2549566,16
2550590,1024
2550606,16
2550618,12
2550634,16
2551506,872
2551554,48
2551622,68
2551634,12
2552582,948
2552610,28
2552922,312
2553794,872
2553814,20
2553826,12
2554178,352
2554194,16
2555086,892
2555098,12
2555114,16
2555126,12
2556106,980
2556122,16
2556138,16
2557042,904
2557050,8
2557062,12
2557962,900
2558126,164
2558138,12
2558154,16
2559134,980
2559150,16
2559162,12
2559170,8
2560134,964
2560154,20
2560170,16
2561102,932
2561118,16
2561130,12
2561142,12
2562138,996
2562162,24
2562182,20
2563090,908
2563106,16
2563118,12
2563134,16
2564118,984
2564162,44
2564178,16
2565214,1036
2565258,44
2565270,12
2565282,12
2566206,924
2566222,16
2566234,12
2566242,8
2567206,964
2567214,8
2567234,20
2568550,1316
2568566,16
2568582,16
2568594,12
2569614,1020
2569642,28
2569654,12
2569670,16
2570610,940
2570654,44
2570670,16
2570682,12
2571614,932
2571634,20
2571646,12
2571662,16
2572606,944
2572634,28
2573606,972
2573690,84
2573702,12
2574630,928
2574642,12
2574662,20
2574686,24
2575634,948
2575642,8
2575654,12
2575734,80
2576626,892
2576642,16
2576654,12
2577602,948
2577626,24
2577634,8
2577646,12
2578522,876
2578570,48
2578586,16
2579494,908
2579522,28
2579590,68
2579606,16
2580482,876
2580518,36
2580534,16
2581462,928
2581578,116
2581594,16
2581610,16
2582614,1004
2582654,40
2582670,16
2582686,16
2583638,952
2583650,12
2583674,24
2583682,8
2584614,932
2584638,24
2584654,16
2585610,956
2585622,12
2585634,12
2585650,16
2586654,1004
2586662,8
2586674,12
2587578,904
2587610,32
2587626,16
2587634,8
2588534,900
2588542,8
2588586,44
2589542,956
2589554,12
2589566,12
2590486,920
2590506,20
2590834,328
2591814,980
2591830,16
2591842,12
2591854,12
2592710,856
2592734,24
2592750,16
2592766,16
2593730,964
2593738,8
2593750,12
2594658,908
2594670,12
2594682,12
2594702,20
2595582,880
2595598,16
2595610,12
2596522,912
2596538,16
2596570,32
2597878,1308
2597890,12
2597906,16
2597922,16
2598922,1000
2598934,12
2598954,20
2598966,12
2598978,12
2599902,924
2599926,24
2599934,8
2600794,860
2600874,80
2600902,28
2600918,16
2601858,940
2601870,12
2601890,20
2602810,920
2602822,12
2602834,12
2602846,12
2603738,892
2603754,16
2603770,16
2604658,888
2604666,8
2604678,12
2605642,964
2605662,20
2605674,12
2605686,12
2606590,904
2606626,36
2606646,20
2607642,996
2607654,12
2607670,16
2607682,12
2608626,944
2608646,20
2608970,324
2609906,936
2609950,44
2609962,12
2609982,20
2610910,928
2610942,32
2610966,24
2610970,4
2611854,884
2611882,28
2611890,8
2611898,8
2611914,16
2612858,944
2612874,16
2612886,12
2613826,940
2613838,12
2613854,16
2613882,28
2614822,940
2614834,12
2614854,20
2615774,920
2615806,32
2615822,16
2615846,24
2616766,920
2616782,16
2616794,12
2617758,964
2617766,8
2617782,16
2617798,16
2618670,872
2618734,64
2618762,28
2618786,24
2619690,904
2619698,8
2619714,16
2619726,12
2620666,940
2620686,20
2620698,12
2621642,944
2621662,20
2621670,8
2622602,932
2622622,20
2622634,12
2622646,12
2623602,956
2623614,12
2623634,20
2624558,924
2624602,44
2624626,24
2625614,988
2625630,16
2625650,20
2625666,16
2626566,900
2626934,368
2626954,20
2626974,20
2627878,904
2627918,40
2627938,20
2627950,12
2628834,884
2628878,44
2628898,20
2629826,928
2629834,8
2629858,24
2629874,16
2630806,932
2631126,320
2631142,16
2632158,1016
2632166,8
2632182,16
2632202,20
2632218,16
2633154,936
2633214,60
2633230,16
2633246,16
2634178,932
2634202,24
2634214,12
2635158,944
2635174,16
2635194,20
2635214,20
2636142,928
2636154,12
2636166,12
2637170,1004
2637182,12
2637194,12
2637206,12
2638114,908
2638130,16
2638150,20
2639114,964
2639130,16
2639138,8
2639154,16
2640142,988
2640162,20
2640170,8
2641126,956
2641138,12
2641158,20
2641170,12
2642114,944
2642138,24
2642154,16
2642162,8
2643106,944
2643130,24
2643146,16
2644110,964
2644130,20
2644138,8
2644794,656
2645710,916
2646086,376
2646102,16
2646114,12
2646130,16
2647134,1004
2647154,20
2647162,8
2647170,8
2647186,16
2648130,944
2648150,20
2648170,20
2648178,8
2649106,928
2649122,16
2649138,16
2649154,16
2650122,968
2650166,44
2650178,12
2651046,868
2651094,48
2651106,12
2651126,20
2652066,940
2652106,40
2652122,16
2653142,1020
2653154,12
2653166,12
2653178,12
2654086,908
2654150,64
2654166,16
2655114,948
2655134,20
2655154,20
2655166,12
2656134,968
2656154,20
2656166,12
2657114,948
2657138,24
2657150,12
2657166,16
2658046,880
2658098,52
2658134,36
2658150,16
2659074,924
2659090,16
2659110,20
2660078,968
2660410,332
2660426,16
2660466,40
2661406,940
2661422,16
2661438,16
2661454,16
2661490,36
2662370,880
2662714,344
