Latency,LatencyAdj,Interval
2483330,18446744073708984946,20
2483346,18446744073708974962,16
2483358,18446744073708964974,12
2483366,18446744073708954982,8
2483378,18446744073708944994,12
2483398,18446744073708935014,20
2483726,18446744073708925342,328
2483818,18446744073708915434,92
2483830,18446744073708905446,12
2483842,18446744073708895458,12
2483862,18446744073708885478,20
2483874,18446744073708875490,12
2483882,18446744073708865498,8
2483894,18446744073708855510,12
2484514,18446744073708846130,620
2484606,18446744073708836222,92
2484630,18446744073708826246,24
2484646,18446744073708816262,16
2484654,18446744073708806270,8
2484666,18446744073708796282,12
2484678,18446744073708786294,12
2484690,18446744073708776306,12
2484954,18446744073708766570,264
2485066,18446744073708756682,112
2485102,18446744073708746718,36
2485122,18446744073708736738,20
2485166,18446744073708726782,44
2485182,18446744073708716798,16
2485202,18446744073708706818,20
2485210,18446744073708696826,8
2485562,18446744073708687178,352
2485626,18446744073708677242,64
2485646,18446744073708667262,20
2485658,18446744073708657274,12
2485670,18446744073708647286,12
2485682,18446744073708637298,12
2485694,18446744073708627310,12
2485706,18446744073708617322,12
2486002,18446744073708607618,296
2486030,18446744073708597646,28
2486094,18446744073708587710,64
2486110,18446744073708577726,16
2486126,18446744073708567742,16
2486142,18446744073708557758,16
2486154,18446744073708547770,12
2486166,18446744073708537782,12
2486458,18446744073708528074,292
2486494,18446744073708518110,36
2486542,18446744073708508158,48
2486562,18446744073708498178,20
2486574,18446744073708488190,12
2486590,18446744073708478206,16
2486602,18446744073708468218,12
2486618,18446744073708458234,16
2487010,18446744073708448626,392
2487066,18446744073708438682,56
2487086,18446744073708428702,20
2487098,18446744073708418714,12
2487110,18446744073708408726,12
2487122,18446744073708398738,12
2487134,18446744073708388750,12
2487146,18446744073708378762,12
2487486,18446744073708369102,340
2487538,18446744073708359154,52
2487558,18446744073708349174,20
2487574,18446744073708339190,16
2487594,18446744073708329210,20
2487602,18446744073708319218,8
2487610,18446744073708309226,8
2487622,18446744073708299238,12
2487946,18446744073708289562,324
2488482,18446744073708280098,536
2488494,18446744073708270110,12
2488510,18446744073708260126,16
2488526,18446744073708250142,16
2488538,18446744073708240154,12
2488550,18446744073708230166,12
2488562,18446744073708220178,12
2488574,18446744073708210190,12
2488582,18446744073708200198,8
2488594,18446744073708190210,12
2488606,18446744073708180222,12
2488622,18446744073708170238,16
2488646,18446744073708160262,24
2488662,18446744073708150278,16
2488678,18446744073708140294,16
2488838,18446744073708130454,160
2488906,18446744073708120522,68
2488930,18446744073708110546,24
2488942,18446744073708100558,12
2488954,18446744073708090570,12
2488962,18446744073708080578,8
2488974,18446744073708070590,12
2488986,18446744073708060602,12
2489278,18446744073708050894,292
2489342,18446744073708040958,64
2489354,18446744073708030970,12
2489362,18446744073708020978,8
2489374,18446744073708010990,12
2489390,18446744073708001006,16
2489402,18446744073707991018,12
2489410,18446744073707981026,8
2489718,18446744073707971334,308
2489786,18446744073707961402,68
2489850,18446744073707951466,64
2489862,18446744073707941478,12
2489874,18446744073707931490,12
2489882,18446744073707921498,8
2489894,18446744073707911510,12
2489910,18446744073707901526,16
2490262,18446744073707891878,352
2490334,18446744073707881950,72
2490346,18446744073707871962,12
2490362,18446744073707861978,16
2490382,18446744073707851998,20
2490402,18446744073707842018,20
2490410,18446744073707832026,8
2490422,18446744073707822038,12
2491046,18446744073707812662,624
2491062,18446744073707802678,16
2491110,18446744073707792726,48
2491126,18446744073707782742,16
2491138,18446744073707772754,12
2491150,18446744073707762766,12
2491166,18446744073707752782,16
2491182,18446744073707742798,16
2491514,18446744073707733130,332
2491570,18446744073707723186,56
2491590,18446744073707713206,20
2491602,18446744073707703218,12
2491614,18446744073707693230,12
2491626,18446744073707683242,12
2491638,18446744073707673254,12
2491658,18446744073707663274,20
2491958,18446744073707653574,300
2491974,18446744073707643590,16
2492362,18446744073707633978,388
2492378,18446744073707623994,16
2492402,18446744073707614018,24
2492410,18446744073707604026,8
2492422,18446744073707594038,12
2492434,18446744073707584050,12
2492446,18446744073707574062,12
2492482,18446744073707564098,36
2492506,18446744073707554122,24
2492518,18446744073707544134,12
2492530,18446744073707534146,12
2492546,18446744073707524162,16
2492558,18446744073707514174,12
2492566,18446744073707504182,8
2492850,18446744073707494466,284
2493094,18446744073707484710,244
2493118,18446744073707474734,24
2493130,18446744073707464746,12
2493138,18446744073707454754,8
2493154,18446744073707444770,16
2493166,18446744073707434782,12
